time_h,q_norm
0.0000,0.049995
0.0833,0.081031
0.1667,0.157675
0.2500,0.259994
0.3333,0.373578
0.4167,0.488300
0.5000,0.597118
0.5833,0.695537
0.6667,0.780955
0.7500,0.851966
0.8333,0.908298
0.9167,0.950222
1.0000,0.978767
1.0833,0.994908
1.1667,1.000000
1.2500,0.995342
1.3333,0.982450
1.4167,0.962518
1.5000,0.936843
1.5833,0.906565
1.6667,0.872766
1.7500,0.836312
1.8333,0.798126
1.9167,0.758802
2.0000,0.719045
2.0833,0.679341
2.1667,0.640071
2.2500,0.601614
2.3333,0.564240
2.4167,0.528220
2.5000,0.493663
2.5833,0.460622
2.6667,0.429314
2.7500,0.399686
2.8333,0.371791
2.9167,0.345629
3.0000,0.321092
3.0833,0.298288
3.1667,0.277001
3.2500,0.257285
3.3333,0.239032
3.4167,0.222132
3.5000,0.206587
3.5833,0.192287
3.6667,0.179125
3.7500,0.167100
3.8333,0.156050
3.9167,0.145976
4.0000,0.136822
4.0833,0.128372
4.1667,0.120789
4.2500,0.113801
4.3333,0.107518
4.4167,0.101831
4.5000,0.096631
4.5833,0.091919
4.6667,0.087694
4.7500,0.083848
4.8333,0.080381
4.9167,0.077294
5.0000,0.074423
